Id;Heure;Debit;Total;Pression;Densite
1;09:08:03;0;0;0;
2;09:08:13;66;0;0;
3;09:08:23;73;18;30;
4;09:08:33;60;35;26;
5;09:08:43;56;48;19;
6;09:08:53;52;59;13;
7;09:09:03;53;67;10;
8;09:09:13;53;75;10;
9;09:09:23;53;84;10;
10;09:09:33;53;92;10;
11;09:09:43;56;100;11;
12;09:09:53;59;109;11;
13;09:10:03;64;117;11;
14;09:10:13;68;126;11;
15;09:10:23;73;135;12;
16;09:10:33;78;143;11;
17;09:10:43;83;152;19;
18;09:10:53;86;165;25;
19;09:11:03;88;178;30;
20;09:11:13;90;192;31;
21;09:11:23;92;206;31;
22;09:11:33;95;221;33;
23;09:11:43;98;236;37;
24;09:11:53;101;251;37;
25;09:12:03;104;267;39;
26;09:12:13;106;282;39;
27;09:12:23;109;299;43;
28;09:12:33;111;315;44;
29;09:12:43;114;332;45;
30;09:12:53;116;350;49;
31;09:13:03;118;368;54;
32;09:13:13;120;387;54;
33;09:13:23;123;406;57;
34;09:13:33;125;426;58;
35;09:13:43;127;446;63;
36;09:13:53;129;466;60;
37;09:14:03;131;487;63;
38;09:14:13;133;507;70;
39;09:14:23;134;528;70;
40;09:14:33;134;549;67;
41;09:14:43;135;571;73;
42;09:14:53;138;593;68;
43;09:15:03;139;615;70;
44;09:15:13;140;638;73;
45;09:15:23;141;660;74;
46;09:15:33;143;683;76;
47;09:15:43;144;706;81;
48;09:15:53;144;728;80;
49;09:16:03;144;752;79;
50;09:16:13;146;775;81;
51;09:16:23;146;800;78;
52;09:16:33;146;823;85;
53;09:16:43;146;848;79;
54;09:16:53;146;872;88;
55;09:17:03;146;896;87;
56;09:17:13;146;920;83;
57;09:17:23;146;945;85;
58;09:17:33;146;968;82;
59;09:17:43;146;992;88;
60;09:17:53;146;1017;88;
61;09:18:03;146;1041;85;
62;09:18:13;146;1066;85;
63;09:18:23;146;1090;89;
64;09:18:33;147;1115;89;
65;09:18:43;147;1139;86;
66;09:18:53;147;1164;81;
67;09:19:03;148;1189;87;
68;09:19:13;149;1212;90;
69;09:19:23;148;1237;84;
70;09:19:33;148;1262;89;
71;09:19:43;147;1287;82;
72;09:19:53;146;1312;89;
73;09:20:03;145;1336;88;
74;09:20:13;144;1361;84;
75;09:20:23;143;1385;91;
76;09:20:33;140;1411;84;
77;09:20:43;135;1435;79;
78;09:20:53;132;1457;75;
79;09:21:03;130;1480;77;
80;09:21:13;127;1503;77;
81;09:21:23;124;1526;75;
82;09:21:33;122;1546;61;
83;09:21:43;122;1567;59;
84;09:21:53;122;1587;59;
85;09:22:03;122;1607;60;
86;09:22:13;123;1627;58;
87;09:22:23;122;1648;61;
88;09:22:33;123;1667;60;
89;09:22:43;122;1688;63;
90;09:22:53;122;1708;60;
91;09:23:03;122;1728;60;
92;09:23:13;122;1749;63;
93;09:23:23;122;1769;58;
94;09:23:33;122;1790;58;
95;09:23:43;122;1810;62;
96;09:23:53;124;1830;58;
97;09:24:03;124;1851;60;
98;09:24:13;124;1871;61;
99;09:24:23;124;1891;61;
100;09:24:33;124;1912;60;
101;09:24:43;125;1932;64;
102;09:24:53;125;1953;64;
103;09:25:03;124;1973;60;
104;09:25:13;124;1994;61;
105;09:25:23;124;2014;60;
106;09:25:33;124;2035;64;
107;09:25:43;124;2056;65;
108;09:25:53;124;2075;62;
109;09:26:03;124;2096;63;
110;09:26:13;124;2117;65;
111;09:26:23;124;2138;61;
112;09:26:33;124;2158;59;
113;09:26:43;124;2179;60;
114;09:26:53;124;2199;62;
115;09:27:03;124;2220;62;
116;09:27:13;125;2241;60;
117;09:27:23;125;2262;65;
118;09:27:33;125;2283;64;
119;09:27:43;125;2303;62;
120;09:27:53;125;2324;59;
121;09:28:03;125;2344;63;
122;09:28:13;125;2365;61;
123;09:28:23;125;2386;63;
124;09:28:33;125;2407;60;
125;09:28:43;125;2428;63;
126;09:28:53;125;2449;60;
127;09:29:03;124;2470;63;
128;09:29:13;124;2491;64;
129;09:29:23;125;2511;66;
130;09:29:33;125;2532;65;
131;09:29:43;125;2553;66;
132;09:29:53;125;2574;61;
133;09:30:03;125;2595;61;
134;09:30:13;127;2616;64;
135;09:30:23;127;2637;64;
136;09:30:33;127;2658;64;
137;09:30:43;128;2679;60;
138;09:30:53;128;2701;60;
139;09:31:03;128;2721;63;
140;09:31:13;128;2742;63;
141;09:31:23;128;2763;63;
142;09:31:33;128;2784;67;
143;09:31:43;128;2806;67;
144;09:31:53;128;2827;61;
145;09:32:03;128;2848;62;
146;09:32:13;128;2869;61;
147;09:32:23;128;2890;60;
148;09:32:33;128;2912;66;
149;09:32:43;128;2932;60;
150;09:32:53;128;2953;61;
151;09:33:03;128;2975;64;
152;09:33:13;128;2996;63;
153;09:33:23;128;3017;61;
154;09:33:33;128;3038;61;
155;09:33:43;128;3060;65;
156;09:33:53;128;3081;61;
157;09:34:03;128;3103;61;
158;09:34:13;128;3124;68;
159;09:34:23;128;3144;63;
160;09:34:33;129;3166;67;
161;09:34:43;129;3187;62;
162;09:34:53;128;3209;62;
163;09:35:03;128;3230;68;
164;09:35:13;128;3252;68;
165;09:35:23;128;3273;64;
166;09:35:33;128;3295;61;
167;09:35:43;128;3316;63;
168;09:35:53;128;3338;64;
169;09:36:03;128;3358;64;
170;09:36:13;128;3379;61;
171;09:36:23;129;3401;68;
172;09:36:33;129;3423;65;
173;09:36:43;129;3444;62;
174;09:36:53;129;3466;64;
175;09:37:03;128;3487;64;
176;09:37:13;129;3509;69;
177;09:37:23;130;3530;63;
178;09:37:33;129;3552;60;
179;09:37:43;130;3573;63;
180;09:37:53;130;3594;66;
181;09:38:03;130;3616;65;
182;09:38:13;130;3637;62;
183;09:38:23;130;3659;64;
184;09:38:33;130;3680;64;
185;09:38:43;130;3702;67;
186;09:38:53;130;3723;64;
187;09:39:03;130;3745;70;
188;09:39:13;130;3767;61;
189;09:39:23;130;3787;64;
190;09:39:33;130;3809;61;
191;09:39:43;130;3831;63;
192;09:39:53;130;3853;69;
193;09:40:03;130;3875;65;
194;09:40:13;130;3897;63;
195;09:40:23;130;3918;63;
196;09:40:33;130;3940;63;
197;09:40:43;131;3962;63;
198;09:40:53;130;3984;62;
199;09:41:03;131;4004;64;
200;09:41:13;131;4026;63;
201;09:41:23;131;4048;63;
202;09:41:33;131;4070;64;
203;09:41:43;132;4092;62;
204;09:41:53;132;4113;65;
205;09:42:03;132;4135;62;
206;09:42:13;131;4157;65;
207;09:42:23;131;4179;68;
208;09:42:33;131;4201;64;
209;09:42:43;130;4221;64;
210;09:42:53;130;4243;70;
211;09:43:03;130;4265;63;
212;09:43:13;130;4287;70;
213;09:43:23;130;4309;63;
214;09:43:33;131;4330;67;
215;09:43:43;130;4352;65;
216;09:43:53;131;4374;63;
217;09:44:03;131;4396;70;
218;09:44:13;131;4418;65;
219;09:44:23;132;4439;64;
220;09:44:33;113;4461;64;
221;09:44:43;94;4483;64;
222;09:44:53;76;4505;66;
223;09:45:03;57;4526;70;
224;09:45:13;38;4549;66;
225;09:45:23;19;4570;17;
226;09:45:33;0;4573;0;
227;09:45:43;0;4573;0;
228;09:45:53;0;4573;0;
229;09:46:03;0;4573;0;
230;09:46:13;0;4573;0;
231;09:46:23;0;4573;0;
