Id;Heure;Debit;Total;Pression
1;13:49:47;0;2;-1
2;13:49:57;0;2;0
3;13:50:07;0;2;0
4;13:50:17;0;2;0
5;13:50:27;19;0;1
6;13:50:37;32;0;2
7;13:50:47;47;0;8
8;13:50:57;61;0;14
9;13:51:07;75;0;20
10;13:51:17;88;4;26
11;13:51:27;84;22;31
12;13:51:37;83;36;31
13;13:51:47;82;50;31
14;13:51:57;82;64;30
15;13:52:07;83;77;31
16;13:52:17;83;91;31
17;13:52:27;82;105;31
18;13:52:37;83;119;31
19;13:52:47;83;132;31
20;13:52:57;84;146;31
21;13:53:07;84;160;31
22;13:53:17;84;174;31
23;13:53:27;84;188;31
24;13:53:37;84;201;31
25;13:53:47;85;215;31
26;13:53:57;85;229;31
27;13:54:07;85;243;32
28;13:54:17;85;257;31
29;13:54:27;85;271;31
30;13:54:37;85;285;31
31;13:54:47;84;299;32
32;13:54:57;84;314;32
33;13:55:07;83;327;31
34;13:55:17;83;342;31
35;13:55:27;84;355;31
36;13:55:37;84;369;31
37;13:55:47;84;384;31
38;13:55:57;85;398;32
39;13:56:07;86;412;32
40;13:56:17;86;426;32
41;13:56:27;86;440;32
42;13:56:37;86;454;32
43;13:56:47;86;469;32
44;13:56:57;92;483;32
45;13:57:07;98;497;36
46;13:57:17;105;511;43
47;13:57:27;111;526;49
48;13:57:37;119;540;55
49;13:57:47;126;555;62
50;13:57:57;126;576;65
51;13:58:07;127;597;65
52;13:58:17;128;617;65
53;13:58:27;128;639;66
54;13:58:37;128;659;66
55;13:58:47;129;680;65
56;13:58:57;130;701;66
57;13:59:07;130;722;66
58;13:59:17;130;744;65
59;13:59:27;111;765;65
60;13:59:37;90;787;53
61;13:59:47;68;808;40
62;13:59:57;46;829;27
63;14:00:07;24;851;14
64;14:00:17;3;869;1
65;14:00:27;0;869;0
66;14:00:37;0;869;0
67;14:00:47;0;869;0
68;14:00:57;0;869;-1
69;14:01:07;0;869;-1
70;14:01:17;0;869;-1
71;14:01:27;0;869;-1
72;14:01:37;0;869;-1
73;14:01:47;0;869;-1
74;14:01:57;0;869;-1
75;14:02:07;0;869;-2
76;14:02:17;0;869;-2
77;14:02:27;12;869;-2
78;14:02:37;26;869;-2
79;14:02:47;40;869;-2
80;14:02:57;55;869;-2
81;14:03:07;68;869;-2
82;14:03:17;82;875;-2
83;14:03:27;84;888;-2
84;14:03:37;85;901;-2
85;14:03:47;86;914;-2
86;14:03:57;86;929;-2
87;14:04:07;87;943;-2
88;14:04:17;88;957;-2
89;14:04:27;88;971;-2
90;14:04:37;88;986;-2
91;14:04:47;88;1000;-2
92;14:04:57;88;1015;-2
93;14:05:07;88;1029;-2
94;14:05:17;88;1044;-2
95;14:05:27;88;1058;-2
96;14:05:37;88;1072;-2
97;14:05:47;88;1087;-2
98;14:05:57;89;1102;-2
99;14:06:07;88;1117;-2
100;14:06:17;89;1132;-2
101;14:06:27;90;1147;-2
102;14:06:37;90;1162;-2
103;14:06:47;90;1177;-2
104;14:06:57;90;1192;-2
105;14:07:07;90;1206;-2
106;14:07:17;90;1221;-2
107;14:07:27;88;1236;-2
108;14:07:37;88;1251;-2
109;14:07:47;90;1266;-2
110;14:07:57;89;1281;-2
111;14:08:07;89;1296;-2
112;14:08:17;89;1311;-2
113;14:08:27;90;1326;-2
114;14:08:37;89;1340;-2
115;14:08:47;88;1354;-2
