Date;Heure;Profondeur;Vitesse;Effort
22/10/2025;13:20:55;0;8,5;489,5625081
22/10/2025;13:20:56;0;8,9;541,8522286
22/10/2025;13:20:57;0;1,7;522,2435835
22/10/2025;13:20:58;0;0;496,0987232
22/10/2025;13:20:59;0;0;469,953863
22/10/2025;13:21:00;0;0;437,2727876
22/10/2025;13:21:01;0;0;417,6641425
22/10/2025;13:21:02;0;0;404,5917123
22/10/2025;13:21:03;0;0;391,5192822
22/10/2025;13:21:04;0;0;378,4468521
22/10/2025;13:21:05;0;0;371,910637
22/10/2025;13:21:06;0;0;365,374422
22/10/2025;13:21:07;0;0;365,374422
22/10/2025;13:21:08;0;0;352,3019918
22/10/2025;13:21:09;0;0;352,3019918
22/10/2025;13:21:10;0;0;345,7657768
22/10/2025;13:21:11;0;0;345,7657768
22/10/2025;13:21:12;0;0;352,3019918
22/10/2025;13:21:13;0;0;365,374422
22/10/2025;13:21:14;0;0;358,8382069
22/10/2025;13:21:15;0;0;358,8382069
22/10/2025;13:21:16;0;0;358,8382069
22/10/2025;13:21:17;0;0;358,8382069
22/10/2025;13:21:18;0;0;352,3019918
22/10/2025;13:21:19;0;0;352,3019918
22/10/2025;13:21:20;0;0;352,3019918
22/10/2025;13:21:21;0;0;352,3019918
22/10/2025;13:21:22;0;0;352,3019918
22/10/2025;13:21:23;0;0;352,3019918
22/10/2025;13:21:24;0;0;352,3019918
22/10/2025;13:21:25;0;0;352,3019918
22/10/2025;13:21:26;0;0;352,3019918
22/10/2025;13:21:27;0;0;352,3019918
22/10/2025;13:21:28;0;0;352,3019918
22/10/2025;13:21:29;0;0;358,8382069
22/10/2025;13:21:30;0;0;352,3019918
22/10/2025;13:21:31;0;0;352,3019918
22/10/2025;13:21:32;0;0;352,3019918
22/10/2025;13:21:33;0;0;352,3019918
22/10/2025;13:21:34;0;0;358,8382069
22/10/2025;13:21:35;0;0;352,3019918
22/10/2025;13:21:36;0;0;358,8382069
22/10/2025;13:21:37;0;0;352,3019918
22/10/2025;13:21:38;0;0;358,8382069
22/10/2025;13:21:39;0;0;358,8382069
22/10/2025;13:21:40;0;0;352,3019918
22/10/2025;13:21:41;0;0;352,3019918
22/10/2025;13:21:42;0;0;352,3019918
22/10/2025;13:21:43;0;0;358,8382069
22/10/2025;13:21:44;0;0;352,3019918
22/10/2025;13:21:45;0;0;358,8382069
22/10/2025;13:21:46;0;0;358,8382069
22/10/2025;13:21:47;0;0;358,8382069
22/10/2025;13:21:48;0;0;358,8382069
22/10/2025;13:21:49;0;0;358,8382069
22/10/2025;13:21:50;0;0;365,374422
22/10/2025;13:21:51;0;0;358,8382069
22/10/2025;13:21:52;0;0;365,374422
22/10/2025;13:21:53;0;0;358,8382069
22/10/2025;13:21:54;0;0;365,374422
22/10/2025;13:21:55;0;0;358,8382069
22/10/2025;13:21:56;0;0;365,374422
22/10/2025;13:21:57;0;0;365,374422
22/10/2025;13:21:58;0;0;358,8382069
22/10/2025;13:21:59;0;0;365,374422
22/10/2025;13:22:00;0;0;365,374422
22/10/2025;13:22:01;0;0;358,8382069
22/10/2025;13:22:02;0;0;365,374422
22/10/2025;13:22:03;0;0;365,374422
22/10/2025;13:22:04;0;0;365,374422
22/10/2025;13:22:05;0;0;365,374422
22/10/2025;13:22:06;0;0;358,8382069
22/10/2025;13:22:07;0;0;358,8382069
22/10/2025;13:22:08;0;0;365,374422
22/10/2025;13:22:09;0;0;384,9830672
22/10/2025;13:22:10;0;0;398,0554973
22/10/2025;13:22:11;0;0,9;398,0554973
22/10/2025;13:22:12;0;0;391,5192822
22/10/2025;13:22:13;0;0;365,374422
22/10/2025;13:22:14;0;0,3;273,8674111
22/10/2025;13:22:15;0,100762403;5,1;98,04322593
22/10/2025;13:22:16;0,30228721;11,3;-91,50701087
22/10/2025;13:22:17;0,60457442;14,6;241,8399573
22/10/2025;13:22:18;0,90686163;15,3;-828,7920699
22/10/2025;13:22:19;1,20914884;17;-1109,849318
22/10/2025;13:22:20;1,51143605;17,5;-1103,313102
22/10/2025;13:22:21;1,813723259;17,9;-1064,095812
22/10/2025;13:22:22;2,116010469;18,9;-1037,950952
22/10/2025;13:22:23;2,418297679;19,1;-1011,806092
22/10/2025;13:22:24;2,720584889;18,3;-933,3715109
22/10/2025;13:22:25;3,022872099;18;-868,0093602
22/10/2025;13:22:26;3,325159309;18,1;-854,9369301
22/10/2025;13:22:27;3,526684116;18,4;-776,5023494
22/10/2025;13:22:28;3,728208922;11,2;-769,9661343
22/10/2025;13:22:29;3,929733729;11,5;-776,5023494
22/10/2025;13:22:30;4,232020939;13,9;-769,9661343
22/10/2025;13:22:31;4,433545745;13,7;-776,5023494
22/10/2025;13:22:32;4,635070552;14;24,83761724
22/10/2025;13:22:33;4,937357762;14,3;18,95502368
22/10/2025;13:22:34;5,138882568;14,6;37,91004736
22/10/2025;13:22:35;5,441169778;15,4;43,79264092
22/10/2025;13:22:36;5,642694585;15,5;50,32885598
22/10/2025;13:22:37;5,944981795;15,7;43,79264092
22/10/2025;13:22:38;6,247269005;15,6;56,21144953
22/10/2025;13:22:39;6,448793811;15,6;37,91004736
22/10/2025;13:22:40;6,751081021;15,5;50,32885598
22/10/2025;13:22:41;6,952605828;15,4;56,21144953
22/10/2025;13:22:42;7,254893038;15,4;50,32885598
22/10/2025;13:22:43;7,557180248;15,4;75,16647321
22/10/2025;13:22:44;7,859467457;17,5;50,32885598
22/10/2025;13:22:45;8,161754667;17,6;37,91004736
22/10/2025;13:22:46;8,464041877;17,7;43,79264092
22/10/2025;13:22:47;8,665566684;17,6;69,28387966
22/10/2025;13:22:48;8,967853894;17,7;69,28387966
22/10/2025;13:22:49;9,270141104;17,9;94,12149689
22/10/2025;13:22:50;9,572428314;18;106,5403055
22/10/2025;13:22:51;9,874715523;18,2;113,0765206
22/10/2025;13:22:52;10,27776514;18,2;100,657712
22/10/2025;13:22:53;10,58005235;18,1;94,12149689
22/10/2025;13:22:54;10,88233956;18,2;81,70268828
22/10/2025;13:22:55;11,18462677;17,8;69,28387966
22/10/2025;13:22:56;11,48691398;18;87,58528183
22/10/2025;13:22:57;11,78920119;18,1;87,58528183
22/10/2025;13:22:58;12,0914884;18,1;94,12149689
22/10/2025;13:22:59;12,39377561;18,2;94,12149689
22/10/2025;13:23:00;12,69606282;18,3;75,16647321
22/10/2025;13:23:01;12,99835003;18,6;87,58528183
22/10/2025;13:23:02;13,30063724;18,7;118,9591141
22/10/2025;13:23:03;13,60292445;18,9;125,4953292
22/10/2025;13:23:04;13,90521166;18,9;100,657712
22/10/2025;13:23:05;14,20749887;18,7;94,12149689
22/10/2025;13:23:06;14,50978608;18,5;81,70268828
22/10/2025;13:23:07;14,81207329;18,2;94,12149689
22/10/2025;13:23:08;15,1143605;18,5;94,12149689
22/10/2025;13:23:09;15,51741011;18,1;87,58528183
22/10/2025;13:23:10;15,81969732;18,3;100,657712
22/10/2025;13:23:11;16,12198453;18,3;113,0765206
22/10/2025;13:23:12;16,42427174;18,6;87,58528183
22/10/2025;13:23:13;16,72655895;18,5;113,0765206
22/10/2025;13:23:14;17,02884616;18,8;125,4953292
22/10/2025;13:23:15;17,33113337;18,7;125,4953292
22/10/2025;13:23:16;17,63342058;18,8;94,12149689
22/10/2025;13:23:17;17,93570779;18,3;94,12149689
22/10/2025;13:23:18;18,3387574;20,2;125,4953292
22/10/2025;13:23:19;18,74180701;21,9;113,0765206
22/10/2025;13:23:20;19,04409422;22;100,657712
22/10/2025;13:23:21;19,44714384;22,1;106,5403055
22/10/2025;13:23:22;19,85019345;22;118,9591141
22/10/2025;13:23:23;20,15248066;22,3;118,9591141
22/10/2025;13:23:24;20,55553027;22,1;125,4953292
22/10/2025;13:23:25;20,95857989;22,2;132,0315443
22/10/2025;13:23:26;21,2608671;22,3;125,4953292
22/10/2025;13:23:27;21,66391671;22;113,0765206
22/10/2025;13:23:28;22,06696632;22,3;94,12149689
22/10/2025;13:23:29;22,47001594;22,2;113,0765206
22/10/2025;13:23:30;22,77230315;22,1;113,0765206
22/10/2025;13:23:31;23,17535276;22,2;100,657712
22/10/2025;13:23:32;23,57840237;22,2;125,4953292
22/10/2025;13:23:33;23,88068958;22,3;118,9591141
22/10/2025;13:23:34;24,2837392;22,1;125,4953292
22/10/2025;13:23:35;24,68678881;22,3;118,9591141
22/10/2025;13:23:36;24,98907602;22,3;118,9591141
22/10/2025;13:23:37;25,39212563;22,1;106,5403055
22/10/2025;13:23:38;25,79517524;22,3;94,12149689
22/10/2025;13:23:39;26,19822486;22,1;113,0765206
