Id;Heure;Profondeur;Vitesse;Effort
1;08:34:42;0;0;2
2;08:34:43;0;0;2
3;08:34:44;0;0;2
4;08:34:45;0;0;2
5;08:34:47;0;0;1
6;08:34:47;0;0;1
7;08:34:48;0;0;1
8;08:34:50;0;0;1
9;08:34:50;0;0;1
10;08:34:51;0;0;0
11;08:34:53;0;0;0
12;08:34:53;0;0;0
13;08:34:54;0;0;0
14;08:34:55;0;0;0
15;08:34:56;0;0;1
16;08:34:57;0;0;1
17;08:34:58;0;0;1
18;08:34:59;0;0;1
19;08:35:00;0;0;1
20;08:35:01;0;0;1
21;08:35:02;0;0;1
22;08:35:03;0;0;1
23;08:35:04;0;0;1
24;08:35:06;0;0;1
25;08:35:06;0;0;1
26;08:35:07;0;0;1
27;08:35:09;0;0;1
28;08:35:09;0;0;1
29;08:35:10;0;0;1
30;08:35:12;0;0;1
31;08:35:12;0;0;1
32;08:35:13;0;0;1
33;08:35:14;0;0;1
34;08:35:15;0;0;1
35;08:35:16;0;0;1
36;08:35:17;0;0;1
37;08:35:18;0;0;1
38;08:35:19;0;0;1
39;08:35:20;0;0;1
40;08:35:21;0;0;1
41;08:35:22;0;0;1
42;08:35:23;0;0;0
43;08:35:25;0;0;0
44;08:35:25;0;0;0
45;08:35:26;0;0;0
46;08:35:28;0;0;1
47;08:35:28;0;0;1
48;08:35:29;0;0;1
49;08:35:31;0;0;1
50;08:35:31;0;0;1
51;08:35:32;0;0;1
52;08:35:33;0;0;1
53;08:35:34;0;0;1
54;08:35:35;0;0;1
55;08:35:36;0;0;1
56;08:35:37;0;0;0
57;08:35:38;0;0;0
58;08:35:39;0;0;0
59;08:35:40;0;0;0
60;08:35:41;0;0;1
61;08:35:42;0;0;1
62;08:35:44;0;0;1
63;08:35:44;0;0;1
64;08:35:45;0;0;1
65;08:35:47;0;0;1
66;08:35:47;0;0;1
67;08:35:48;0;0;1
68;08:35:50;0;0;1
69;08:35:50;0;0;1
70;08:35:51;0;0;1
71;08:35:52;0;0;1
72;08:35:53;0;0;1
73;08:35:54;0;0;1
74;08:35:55;0;0;0
75;08:35:56;0;0;0
76;08:35:57;0;0;1
77;08:35:58;0;0;2
78;08:35:59;0;0;4
79;08:36:00;0;0;6
80;08:36:01;0;0;8
81;08:36:03;0;0;9
82;08:36:03;0;0;10
83;08:36:04;0;0;12
84;08:36:06;0;0;13
85;08:36:06;0;0;14
86;08:36:07;0;0;15
87;08:36:09;0;0;14
88;08:36:09;0;0;14
89;08:36:10;0;0;13
90;08:36:11;0;0;12
91;08:36:12;0;0;12
92;08:36:13;0;0;12
93;08:36:14;0;0;12
94;08:36:15;0;0;12
95;08:36:16;0;0;12
96;08:36:17;0;0;12
97;08:36:18;0;0;12
98;08:36:19;0;0;12
99;08:36:20;0;0;12
100;08:36:22;0;0;12
101;08:36:22;0;0;12
102;08:36:23;0;0;12
103;08:36:25;0;0;12
104;08:36:25;0;0;11
105;08:36:26;0;0;12
106;08:36:28;0;0;13
107;08:36:28;0;0;17
108;08:36:29;0;0;20
109;08:36:30;0;0;23
110;08:36:31;0;0;28
111;08:36:32;0;0;34
112;08:36:33;0;0;44
113;08:36:34;0;0;56
114;08:36:35;0;0,3;69
115;08:36:36;0;7,8;80
116;08:36:37;1;11,6;92
117;08:36:38;1;13;101
118;08:36:39;1;14,8;110
119;08:36:41;1;15,3;117
120;08:36:41;2;14,9;124
121;08:36:42;2;15,9;128
122;08:36:44;2;16,6;128
123;08:36:44;2;17,3;127
124;08:36:45;3;17,4;153
125;08:36:47;3;18,1;180
126;08:36:47;3;18,2;207
127;08:36:48;4;18,8;233
128;08:36:49;4;18,9;259
129;08:36:50;4;19,4;288
130;08:36:51;5;19,3;315
131;08:36:52;5;19,5;345
132;08:36:53;5;19,1;376
133;08:36:54;6;19,3;403
134;08:36:55;6;19,1;404
135;08:36:56;6;19,1;404
136;08:36:57;7;19;404
137;08:36:58;7;19,4;404
138;08:37:00;7;19,6;405
139;08:37:00;7;20;406
140;08:37:01;8;20,1;407
141;08:37:03;8;20,1;407
142;08:37:03;9;20,4;405
143;08:37:04;9;19,9;406
144;08:37:06;9;20,2;405
145;08:37:06;10;20,1;404
146;08:37:07;10;20,2;403
147;08:37:08;10;20,1;403
148;08:37:09;11;20,4;402
149;08:37:10;11;20,4;401
150;08:37:11;11;20,5;400
151;08:37:12;12;20,6;398
152;08:37:13;12;20,6;398
153;08:37:14;12;20,7;398
154;08:37:15;13;20,4;397
155;08:37:16;13;20,5;395
156;08:37:17;13;20,5;395
157;08:37:19;14;20,5;393
158;08:37:19;14;20,4;393
159;08:37:20;14;20,5;391
160;08:37:22;15;20,5;390
161;08:37:22;15;20,5;389
162;08:37:23;15;20,8;388
163;08:37:25;16;20,6;389
164;08:37:25;16;20,6;388
165;08:37:26;16;20,6;388
166;08:37:27;17;20,4;388
167;08:37:28;17;20,7;389
168;08:37:29;17;20,4;388
169;08:37:30;18;20,7;388
170;08:37:31;18;20,5;388
171;08:37:32;19;20,7;388
172;08:37:33;19;20,8;387
173;08:37:34;19;20,8;386
174;08:37:35;20;20,9;386
175;08:37:36;20;20,6;386
176;08:37:38;20;20,8;386
177;08:37:38;21;20,6;385
178;08:37:39;21;20,8;385
179;08:37:41;21;20,6;386
180;08:37:41;22;20,5;385
