Id;Heure;Debit;Total;Pression;Densite
1;08:36:31;0;0;0;
2;08:36:41;0;0;0;
3;08:36:51;0;0;0;
4;08:37:01;0;0;0;
5;08:37:11;0;0;0;
6;08:37:21;0;0;0;
7;08:37:31;0;0;0;
8;08:37:41;0;0;0;
9;08:37:51;0;0;0;
10;08:38:01;0;0;0;
11;08:38:11;0;0;0;
12;08:38:21;0;0;0;
13;08:38:31;0;0;0;
14;08:38:41;0;0;0;
15;08:38:51;0;0;0;
16;08:39:01;0;0;0;
17;08:39:11;0;0;0;
18;08:39:21;0;0;0;
19;08:39:31;0;0;0;
20;08:39:41;0;0;0;
21;08:39:51;0;0;0;
22;08:40:01;0;0;0;
23;08:40:11;0;0;0;
24;08:40:21;0;0;0;
25;08:40:31;0;0;0;
26;08:40:41;0;0;0;
27;08:40:51;0;0;0;
28;08:41:01;0;0;0;
29;08:41:11;0;0;0;
30;08:41:21;0;0;0;
31;08:41:31;0;0;0;
32;08:41:41;0;0;0;
33;08:41:51;0;0;0;
34;08:42:01;0;0;0;
35;08:42:11;0;0;0;
36;08:42:21;0;0;0;
37;08:42:31;0;0;0;
38;08:42:41;0;0;0;
39;08:42:51;0;0;0;
40;08:43:01;0;0;0;
41;08:43:11;0;0;0;
42;08:43:21;0;0;0;
43;08:43:31;0;0;0;
44;08:43:41;0;0;0;
45;08:43:51;0;0;0;
46;08:44:01;0;0;0;
47;08:44:11;0;0;0;
48;08:44:21;0;0;0;
49;08:44:31;0;0;0;
50;08:44:41;0;0;0;
51;08:44:51;0;0;0;
52;08:45:01;0;0;0;
53;08:45:11;0;0;0;
54;08:45:21;0;0;0;
55;08:45:31;0;0;0;
56;08:45:41;0;0;0;
57;08:45:51;0;0;0;
58;08:46:01;0;0;0;
59;08:46:11;0;0;0;
60;08:46:21;0;0;0;
61;08:46:31;0;0;0;
62;08:46:41;0;0;0;
63;08:46:51;0;0;0;
64;08:47:01;0;0;0;
65;08:47:11;0;0;0;
66;08:47:21;0;0;0;
67;08:47:31;0;0;0;
68;08:47:41;0;0;0;
69;08:47:51;0;0;0;
70;08:48:01;0;0;0;
71;08:48:11;0;0;0;
72;08:48:21;0;0;0;
73;08:48:31;0;0;0;
74;08:48:41;0;0;0;
75;08:48:51;0;0;0;
76;08:49:01;0;0;0;
77;08:49:11;0;0;0;
78;08:49:21;0;0;0;
79;08:49:31;0;0;0;
80;08:49:41;0;0;0;
81;08:49:51;0;0;0;
82;08:50:01;0;0;0;
83;08:50:11;0;0;0;
84;08:50:21;0;0;0;
85;08:50:31;0;0;0;
86;08:50:41;0;0;0;
87;08:50:51;0;0;0;
88;08:51:01;0;0;0;
89;08:51:11;0;0;0;
90;08:51:21;0;0;0;
91;08:51:31;0;0;0;
92;08:51:41;0;0;0;
93;08:51:51;0;0;0;
94;08:52:01;0;0;0;
95;08:52:11;0;0;0;
96;08:52:21;0;0;0;
97;08:52:31;0;0;0;
98;08:52:41;0;0;0;
99;08:52:51;0;0;0;
100;08:53:01;0;0;0;
101;08:53:11;0;0;0;
102;08:53:21;0;0;0;
103;08:53:31;0;0;0;
104;08:53:41;0;0;0;
105;08:53:51;0;0;0;
106;08:54:01;0;0;0;
107;08:54:11;0;1;0;
108;08:54:21;0;1;0;
109;08:54:31;2;1;0;
110;08:54:41;2;1;0;
111;08:54:51;2;1;0;
112;08:55:01;2;1;0;
113;08:55:11;2;1;0;
114;08:55:21;2;1;0;
115;08:55:31;2;1;0;
116;08:55:41;0;1;0;
117;08:55:51;0;1;0;
118;08:56:01;0;1;0;
119;08:56:11;0;1;0;
120;08:56:21;0;1;0;
121;08:56:31;0;1;0;
122;08:56:41;0;1;0;
123;08:56:51;0;1;0;
124;08:57:01;0;1;0;
125;08:57:11;0;1;0;
126;08:57:21;0;1;0;
127;08:57:31;0;1;0;
128;08:57:41;0;1;0;
129;08:57:51;0;1;0;
130;08:58:01;0;1;0;
131;08:58:11;0;2;0;
132;08:58:21;0;2;0;
133;08:58:31;0;2;0;
134;08:58:41;0;2;0;
135;08:58:51;0;2;0;
136;08:59:01;0;2;0;
137;08:59:11;0;2;0;
138;08:59:21;0;2;0;
139;08:59:31;0;2;0;
140;08:59:41;0;2;0;
141;08:59:51;0;2;0;
142;09:00:01;0;2;0;
143;09:00:11;0;2;0;
144;09:00:21;0;2;0;
145;09:00:31;0;2;0;
146;09:00:41;0;2;0;
147;09:00:51;0;2;0;
148;09:01:01;0;2;0;
149;09:01:11;0;2;0;
150;09:01:21;0;2;0;
151;09:01:31;0;2;0;
152;09:01:41;0;2;0;
153;09:01:51;0;2;0;
154;09:02:01;0;2;0;
155;09:02:11;0;2;0;
156;09:02:21;0;2;0;
157;09:02:31;0;2;0;
158;09:02:41;0;2;0;
159;09:02:51;0;2;0;
160;09:03:01;0;2;0;
161;09:03:11;0;2;0;
162;09:03:21;0;2;0;
163;09:03:31;0;2;0;
164;09:03:41;0;2;0;
165;09:03:51;0;2;0;
166;09:04:01;0;2;0;
167;09:04:11;0;2;0;
168;09:04:21;0;2;0;
169;09:04:31;0;2;0;
170;09:04:41;0;2;0;
171;09:04:51;0;2;0;
172;09:05:01;0;2;0;
173;09:05:11;0;2;0;
174;09:05:21;0;2;0;
175;09:05:31;0;2;0;
176;09:05:41;0;2;0;
177;09:05:51;0;2;0;
178;09:06:01;0;2;0;
179;09:06:11;0;2;0;
180;09:06:21;1;2;0;
181;09:06:31;15;2;6;
182;09:06:41;30;2;12;
183;09:06:51;42;2;17;
184;09:07:01;51;2;21;
185;09:07:11;61;5;25;
186;09:07:21;70;5;29;
187;09:07:31;79;20;32;
188;09:07:41;76;35;28;
189;09:07:51;74;50;28;
190;09:08:01;76;62;29;
191;09:08:11;81;74;31;
192;09:08:21;88;86;35;
193;09:08:31;94;98;38;
194;09:08:41;102;110;43;
195;09:08:51;108;124;49;
196;09:09:01;114;140;53;
197;09:09:11;120;156;59;
198;09:09:21;128;172;66;
199;09:09:31;133;191;71;
200;09:09:41;138;209;78;
201;09:09:51;143;229;83;
202;09:10:01;147;250;86;
203;09:10:11;151;274;89;
204;09:10:21;153;298;93;
205;09:10:31;153;323;93;
206;09:10:41;155;348;94;
207;09:10:51;156;373;95;
208;09:11:01;155;397;95;
209;09:11:11;154;422;95;
210;09:11:21;154;448;96;
211;09:11:31;154;473;95;
212;09:11:41;154;498;96;
213;09:11:51;153;524;97;
214;09:12:01;154;550;96;
215;09:12:11;155;576;95;
216;09:12:21;155;601;97;
217;09:12:31;156;627;97;
218;09:12:41;155;651;99;
219;09:12:51;155;677;98;
220;09:13:01;156;703;96;
221;09:13:11;155;729;97;
222;09:13:21;156;755;98;
223;09:13:31;156;780;98;
224;09:13:41;157;807;97;
225;09:13:51;156;833;96;
226;09:14:01;156;859;96;
227;09:14:11;156;885;96;
228;09:14:21;157;910;95;
229;09:14:31;156;936;96;
230;09:14:41;158;962;95;
231;09:14:51;156;989;96;
232;09:15:01;156;1015;96;
233;09:15:11;157;1041;97;
234;09:15:21;157;1068;98;
235;09:15:31;157;1094;99;
236;09:15:41;157;1121;98;
237;09:15:51;157;1147;100;
238;09:16:01;159;1173;100;
239;09:16:11;160;1199;100;
240;09:16:21;160;1226;100;
241;09:16:31;160;1252;100;
242;09:16:41;160;1279;100;
243;09:16:51;161;1306;102;
244;09:17:01;161;1332;100;
245;09:17:11;161;1359;101;
246;09:17:21;160;1386;102;
247;09:17:31;160;1413;101;
248;09:17:41;162;1439;102;
249;09:17:51;161;1465;104;
250;09:18:01;163;1492;103;
251;09:18:11;161;1519;103;
252;09:18:21;157;1546;101;
253;09:18:31;154;1573;94;
254;09:18:41;147;1600;89;
255;09:18:51;140;1627;82;
256;09:19:01;135;1654;74;
257;09:19:11;127;1681;68;
258;09:19:21;123;1704;61;
259;09:19:31;120;1725;58;
260;09:19:41;118;1745;56;
261;09:19:51;118;1764;57;
262;09:20:01;118;1784;57;
263;09:20:11;118;1803;57;
