Id;Heure;Profondeur;Vitesse;Effort
1;08:45:05;0,0;0;145
2;08:45:07;0,0;28,1;145
3;08:45:09;0,0;0;133
4;08:45:11;0,0;0;145
5;08:45:13;0,0;0;139
6;08:45:15;0,0;0;139
7;08:45:17;0,0;0;145
8;08:45:19;0,0;0;139
9;08:45:21;0,0;0;145
10;08:45:23;0,0;0;139
11;08:45:25;0,0;0;133
12;08:45:27;0,0;0;145
13;08:45:29;0,0;0;139
14;08:45:31;0,0;0,3;139
15;08:45:33;0,0;3,1;169
16;08:45:35;0,0;0;199
17;08:45:37;0,0;0;206
18;08:45:39;0,2;10,2;212
19;08:45:41;0,7;15,4;187
20;08:45:43;1,3;16,1;151
21;08:45:45;1,8;14,1;127
22;08:45:47;2,3;16,6;121
23;08:45:49;2,9;16,7;109
24;08:45:51;3,4;16,7;84
25;08:45:53;4,0;17;54
26;08:45:55;4,6;17,3;30
27;08:45:57;5,2;17,5;12
28;08:45:59;5,7;17,8;0
29;08:46:01;6,3;18;6
30;08:46:03;6,9;17,9;0
31;08:46:05;7,5;17,8;6
32;08:46:07;8,1;17,9;30
33;08:46:09;8,7;18,1;43
34;08:46:11;9,3;18,2;43
35;08:46:13;10,0;18,3;48
36;08:46:15;10,6;18,2;43
37;08:46:17;11,2;18;43
38;08:46:19;11,8;17,9;36
39;08:46:21;12,4;18;30
40;08:46:23;13,1;18,2;30
41;08:46:25;13,7;18,3;36
42;08:46:27;14,3;18,3;30
43;08:46:29;14,9;18,3;43
44;08:46:31;15,5;18,5;60
45;08:46:33;16,1;18,6;66
46;08:46:35;16,7;18,8;66
47;08:46:37;17,4;18,8;79
48;08:46:39;18,0;18,7;79
49;08:46:41;18,6;18,6;79
50;08:46:43;19,2;18,5;73
51;08:46:45;19,8;18,5;66
52;08:46:47;20,5;18,8;54
53;08:46:49;21,1;18,6;48
54;08:46:51;21,7;18,5;43
55;08:46:53;22,3;18,3;43
56;08:46:55;22,9;18,4;43
57;08:46:57;23,6;20;43
58;08:46:59;24,3;21,1;54
59;08:47:01;25,0;21,3;54
60;08:47:03;25,7;21,2;60
61;08:47:05;26,4;21,1;66
62;08:47:07;27,1;21;60
63;08:47:09;27,8;21;60
64;08:47:11;28,5;21,2;48
65;08:47:13;29,3;21;43
66;08:47:15;30,0;21,1;43
67;08:47:17;30,8;21,3;36
68;08:47:19;31,5;21,5;43
69;08:47:21;32,2;21,5;54
70;08:47:23;32,9;21,6;66
71;08:47:25;33,6;21,7;73
72;08:47:27;34,4;21,6;73
73;08:47:29;35,1;21,6;73
74;08:47:31;35,8;21,5;73
75;08:47:33;36,5;21,5;66
76;08:47:35;37,2;21,6;60
77;08:47:37;37,9;21,7;48
78;08:47:39;38,7;21,6;54
79;08:47:41;39,4;21,6;54
80;08:47:43;40,1;21,5;60
81;08:47:45;40,8;21,7;66
82;08:47:47;41,5;21,7;54
83;08:47:49;42,3;21,8;54
84;08:47:51;43,0;21,6;54
85;08:47:53;43,7;21,5;54
86;08:47:55;44,4;21,6;48
87;08:47:57;45,2;21,6;36
88;08:47:59;45,9;21,7;30
89;08:48:01;46,6;21,6;36
90;08:48:03;47,3;21,6;43
91;08:48:05;48,0;21,5;54
92;08:48:07;48,9;21,7;54
93;08:48:09;49,6;21,8;60
94;08:48:11;50,3;21,7;73
95;08:48:13;51,0;21,6;66
96;08:48:15;51,7;21,6;66
97;08:48:17;52,5;21,7;54
98;08:48:19;53,2;21,7;48
99;08:48:21;53,9;21,7;48
100;08:48:23;54,6;21,6;48
101;08:48:25;55,4;21,5;48
102;08:48:27;56,1;21,7;48
103;08:48:29;56,8;21,8;60
104;08:48:31;57,5;21,8;73
105;08:48:33;58,2;21,6;79
106;08:48:35;59,0;21,6;79
107;08:48:37;59,7;21,6;79
108;08:48:39;60,4;21,8;73
109;08:48:41;61,1;21,8;66
110;08:48:43;61,9;21,6;60
111;08:48:45;62,6;21,5;54
112;08:48:47;63,3;21,6;54
113;08:48:49;64,0;21,8;60
114;08:48:51;64,7;21,8;66
115;08:48:53;65,5;21,7;84
116;08:48:55;66,2;21,6;90
117;08:48:57;66,9;21,6;90
118;08:48:59;67,6;21,7;84
119;08:49:01;68,5;21,9;79
120;08:49:03;69,2;21,7;66
121;08:49:05;69,9;21,6;66
122;08:49:07;70,6;21,7;60
123;08:49:09;71,4;21,7;60
124;08:49:11;72,1;21,9;66
125;08:49:13;72,8;21,8;79
126;08:49:15;73,5;21,5;90
127;08:49:17;74,2;21,6;97
128;08:49:19;75,0;21,8;103
129;08:49:21;75,7;21,9;90
130;08:49:23;76,4;21,7;84
131;08:49:25;77,1;21,6;79
132;08:49:27;77,9;21,6;73
133;08:49:29;78,6;21,7;66
134;08:49:31;79,3;21,8;66
135;08:49:33;80,0;21,7;60
136;08:49:35;80,8;21,6;66
137;08:49:37;81,5;21,7;84
138;08:49:39;82,2;21,7;103
139;08:49:41;82,9;21,8;103
140;08:49:43;83,6;21,8;97
141;08:49:45;84,4;21,6;84
142;08:49:47;85,1;21,6;84
