Id;Heure;Debit;Total;Pression;Densite
1;08:17:37;0;0;0;0
2;08:17:47;0;0;0;0
3;08:17:57;0;0;0;0
4;08:18:07;0;0;0;0
5;08:18:17;0;0;0;0
6;08:18:27;0;0;0;0
7;08:18:37;0;0;0;0
8;08:18:47;0;0;0;0
9;08:18:57;0;0;0;0
10;08:19:07;0;0;0;0
11;08:19:17;0;0;0;0
12;08:19:27;0;0;0;0
13;08:19:37;0;0;0;0
14;08:19:47;0;0;0;0
15;08:19:57;0;0;0;0
16;08:20:07;0;0;0;0
17;08:20:17;0;0;0;0
18;08:20:27;0;0;0;0
19;08:20:37;0;0;0;0
20;08:20:47;0;0;0;0
21;08:20:57;0;0;0;0
22;08:21:07;0;0;0;0
23;08:21:17;0;0;0;0
24;08:21:27;0;0;0;0
25;08:21:37;0;0;0;0
26;08:21:47;0;0;0;0
27;08:21:57;0;0;0;0
28;08:22:07;0;0;0;0
29;08:22:17;0;0;0;0
30;08:22:27;0;0;0;0
31;08:22:37;0;0;0;0
32;08:22:47;0;0;0;0
33;08:22:57;0;0;0;0
34;08:23:07;0;0;0;0
35;08:23:17;0;0;0;0
36;08:23:27;0;0;0;0
37;08:23:37;0;0;0;0
38;08:23:47;0;0;0;0
39;08:23:57;0;0;0;0
40;08:24:07;0;0;0;0
41;08:24:17;0;0;0;0
42;08:24:27;0;0;0;0
43;08:24:37;0;0;0;0
44;08:24:47;0;0;0;0
45;08:24:57;0;0;0;0
46;08:25:07;0;0;0;0
47;08:25:17;0;0;0;0
48;08:25:27;0;0;0;0
49;08:25:37;0;0;0;0
50;08:25:47;0;0;0;0
51;08:25:57;0;0;0;0
52;08:26:07;0;0;0;0
53;08:26:17;0;0;0;0
54;08:26:27;0;0;0;0
55;08:26:37;0;0;0;0
56;08:26:47;0;0;0;0
57;08:26:57;0;0;0;0
58;08:27:07;0;0;0;0
59;08:27:17;0;0;0;0
60;08:27:27;0;0;0;0
61;08:27:37;0;0;0;0
62;08:27:47;0;0;0;0
63;08:27:57;0;0;0;0
64;08:28:07;0;0;0;0
65;08:28:17;0;0;0;0
66;08:28:27;0;0;0;0
67;08:28:37;0;0;0;0
68;08:28:47;0;0;0;0
69;08:28:57;0;0;0;0
70;08:29:07;0;0;0;0
71;08:29:17;0;0;0;0
72;08:29:27;0;0;0;0
73;08:29:37;0;0;0;0
