Id;Heure;Debit;Total;Pression
1;08:22:51;0;0;0
2;08:23:01;0;0;0
3;08:23:11;0;0;0
4;08:23:21;0;0;0
5;08:23:31;0;0;0
6;08:23:41;0;0;0
7;08:23:51;0;0;0
8;08:24:01;0;0;0
9;08:24:11;0;0;0
10;08:24:21;0;0;0
11;08:24:31;0;0;0
12;08:24:41;1;0;0
13;08:24:51;1;0;0
14;08:25:01;1;0;0
15;08:25:11;1;0;0
16;08:25:21;1;0;0
17;08:25:31;1;0;0
18;08:25:41;1;0;0
19;08:25:51;22;7;0
20;08:26:01;34;7;0
21;08:26:11;48;8;0
22;08:26:21;61;8;0
23;08:26:31;75;0;0
24;08:26:41;89;0;0
25;08:26:51;103;0;0
26;08:27:01;118;9;0
27;08:27:11;111;31;0
28;08:27:21;113;48;0
29;08:27:31;115;66;1
30;08:27:41;117;85;1
31;08:27:51;119;103;3
32;08:28:01;121;122;4
33;08:28:11;123;141;5
34;08:28:21;123;160;6
35;08:28:31;123;181;6
36;08:28:41;121;200;11
37;08:28:51;120;221;12
38;08:29:01;119;241;16
39;08:29:11;103;262;20
40;08:29:21;86;284;24
41;08:29:31;71;304;40
42;08:29:41;56;324;50
43;08:29:51;41;342;56
44;08:30:01;28;361;55
45;08:30:11;14;380;53
46;08:30:21;0;394;13
47;08:30:31;4;394;15
48;08:30:41;7;394;13
49;08:30:51;7;394;13
50;08:31:01;7;394;13
51;08:31:11;7;394;13
52;08:31:21;7;394;13
53;08:31:31;7;394;13
54;08:31:41;7;397;19
55;08:31:51;9;402;32
56;08:32:01;6;404;51
57;08:32:11;6;404;54
58;08:32:21;6;404;54
59;08:32:31;6;404;53
60;08:32:41;6;404;52
61;08:32:51;6;404;51
62;08:33:01;6;409;92
63;08:33:11;0;411;109
64;08:33:21;0;411;106
65;08:33:31;5;411;103
66;08:33:41;5;411;101
67;08:33:51;5;411;100
68;08:34:01;5;411;99
69;08:34:11;5;411;97
70;08:34:21;5;411;95
71;08:34:31;5;411;94
72;08:34:41;5;415;143
73;08:34:51;0;416;152
74;08:35:01;0;416;152
75;08:35:11;0;416;152
76;08:35:21;0;416;152
77;08:35:31;0;416;151
78;08:35:41;0;416;149
79;08:35:51;0;416;147
80;08:36:01;0;416;146
81;08:36:11;0;416;144
82;08:36:21;6;416;143
83;08:36:31;6;416;142
84;08:36:41;6;416;140
85;08:36:51;6;416;139
86;08:37:01;6;416;138
87;08:37:11;6;416;136
88;08:37:21;6;416;135
89;08:37:31;6;419;179
90;08:37:41;0;421;193
91;08:37:51;0;421;194
92;08:38:01;0;421;194
93;08:38:11;0;421;192
94;08:38:21;0;421;190
95;08:38:31;0;421;189
96;08:38:41;0;421;188
97;08:38:51;0;421;186
98;08:39:01;0;421;186
99;08:39:11;0;421;184
100;08:39:21;0;421;183
101;08:39:31;0;421;182
102;08:39:41;0;421;181
103;08:39:51;0;421;180
104;08:40:01;0;421;179
105;08:40:11;0;421;178
106;08:40:21;0;421;178
107;08:40:31;0;421;176
108;08:40:41;0;421;175
109;08:40:51;0;421;175
110;08:41:01;0;421;174
111;08:41:11;0;421;173
112;08:41:21;0;421;173
113;08:41:31;0;421;172
114;08:41:41;0;421;171
115;08:41:51;0;421;171
116;08:42:01;0;421;170
117;08:42:11;0;421;169
118;08:42:21;0;421;169
119;08:42:31;0;421;168
120;08:42:41;0;421;167
121;08:42:51;0;421;167
122;08:43:01;0;421;166
123;08:43:11;0;421;166
124;08:43:21;0;421;165
125;08:43:31;0;421;165
126;08:43:41;0;421;164
127;08:43:51;0;421;163
128;08:44:01;0;421;163
129;08:44:11;0;421;162
130;08:44:21;0;421;162
131;08:44:31;0;421;162
132;08:44:41;0;421;161
133;08:44:51;0;421;160
134;08:45:01;0;421;160
135;08:45:11;0;421;160
136;08:45:21;0;421;159
137;08:45:31;0;421;159
138;08:45:41;0;421;158
139;08:45:51;0;421;158
140;08:46:01;0;421;158
141;08:46:11;0;421;157
142;08:46:21;0;421;156
143;08:46:31;0;421;156
144;08:46:41;0;421;155
145;08:46:51;0;421;155
146;08:47:01;0;421;155
147;08:47:11;0;421;154
148;08:47:21;0;421;154
149;08:47:31;0;421;154
150;08:47:41;0;421;153
151;08:47:51;0;421;153
152;08:48:01;0;421;153
153;08:48:11;0;421;153
154;08:48:21;0;421;152
155;08:48:31;20;421;152
156;08:48:41;31;421;151
157;08:48:51;37;421;151
158;08:49:01;37;421;151
159;08:49:11;37;421;149
160;08:49:21;37;421;149
161;08:49:31;37;421;149
162;08:49:41;37;440;0
163;08:49:51;17;456;0
164;08:50:01;7;468;7
165;08:50:11;0;468;3
166;08:50:21;0;468;4
167;08:50:31;0;468;4
168;08:50:41;0;468;4
169;08:50:51;0;468;3
170;08:51:01;0;468;4
171;08:51:11;0;468;4
172;08:51:21;0;468;4
173;08:51:31;0;468;4
174;08:51:41;0;468;4
175;08:51:51;0;468;4
176;08:52:01;0;468;4
