Id;Heure;Debit;Total;Pression;Densite
1;07:55:02;0;0;0;
2;07:55:12;0;0;0;
3;07:55:22;0;0;0;
4;07:55:32;0;0;0;
5;07:55:42;0;0;0;
6;07:55:52;0;0;0;
7;07:56:02;0;0;0;
8;07:56:12;0;0;0;
9;07:56:22;0;0;0;
10;07:56:32;0;0;0;
11;07:56:42;0;0;0;
12;07:56:52;0;0;0;
13;07:57:02;0;0;0;
14;07:57:12;0;0;0;
15;07:57:22;0;0;0;
16;07:57:32;0;0;0;
17;07:57:42;0;0;0;
18;07:57:52;0;0;0;
19;07:58:02;0;0;0;
20;07:58:12;0;0;0;
21;07:58:22;0;0;0;
22;07:58:32;0;0;0;
23;07:58:42;0;0;0;
24;07:58:52;0;0;0;
25;07:59:02;0;0;0;
26;07:59:12;0;0;0;
27;07:59:22;0;0;0;
28;07:59:32;0;0;0;
29;07:59:42;0;0;0;
30;07:59:52;0;0;0;
31;08:00:02;0;0;0;
32;08:00:12;0;0;0;
33;08:00:22;0;0;0;
34;08:00:32;0;0;0;
35;08:00:42;0;0;0;
36;08:00:52;0;0;0;
37;08:01:02;0;0;0;
38;08:01:12;0;0;0;
39;08:01:22;0;0;0;
40;08:01:32;0;0;0;
41;08:01:42;0;0;0;
42;08:01:52;0;0;0;
43;08:02:02;0;0;0;
44;08:02:12;0;0;0;
45;08:02:22;0;0;0;
46;08:02:32;0;0;0;
47;08:02:42;0;0;0;
48;08:02:52;0;0;0;
49;08:03:02;0;0;0;
50;08:03:12;0;0;0;
51;08:03:22;0;0;0;
52;08:03:32;0;0;0;
53;08:03:42;0;0;0;
54;08:03:52;0;0;0;
55;08:04:02;0;0;0;
56;08:04:12;0;0;0;
57;08:04:22;0;0;0;
58;08:04:32;0;0;0;
59;08:04:42;0;0;0;
60;08:04:52;0;0;0;
61;08:05:02;0;0;0;
62;08:05:12;0;0;0;
63;08:05:22;0;0;0;
64;08:05:32;0;0;0;
65;08:05:42;0;0;0;
66;08:05:52;0;0;0;
67;08:06:02;0;0;0;
68;08:06:12;0;0;0;
69;08:06:22;0;0;0;
70;08:06:32;0;0;0;
71;08:06:42;0;0;0;
72;08:06:52;0;0;0;
73;08:07:02;0;0;0;
74;08:07:12;0;0;0;
75;08:07:22;0;0;0;
76;08:07:32;0;0;0;
77;08:07:42;0;0;0;
78;08:07:52;0;0;0;
79;08:08:02;0;0;0;
80;08:08:12;0;0;0;
81;08:08:22;0;0;0;
82;08:08:32;0;0;0;
83;08:08:42;0;0;0;
84;08:08:52;0;0;0;
85;08:09:02;0;0;0;
86;08:09:12;0;0;0;
87;08:09:22;0;0;0;
88;08:09:32;0;0;0;
89;08:09:42;0;0;0;
90;08:09:52;0;0;0;
91;08:10:02;0;0;0;
92;08:10:12;0;0;0;
93;08:10:22;0;0;0;
94;08:10:32;0;0;0;
95;08:10:42;0;0;0;
96;08:10:52;0;0;0;
97;08:11:02;0;0;0;
98;08:11:12;0;0;0;
99;08:11:22;0;0;0;
100;08:11:32;0;0;0;
101;08:11:42;0;0;0;
102;08:11:52;0;0;0;
103;08:12:02;0;0;0;
104;08:12:12;0;0;0;
105;08:12:22;0;0;0;
106;08:12:32;0;0;0;
107;08:12:42;0;0;0;
108;08:12:52;8,874827794;0;0;
109;08:13:02;20,11627633;0;0;
110;08:13:12;31,94938006;0;0;
111;08:13:22;43,1908286;0;0;
112;08:13:32;55,02393232;0;0;
113;08:13:42;70,99862235;0;0;
114;08:13:52;88,74827794;5,798220634;23,62000084;
115;08:14:02;98,21476092;17,73979378;34,42000198;
116;08:14:12;106,4979335;31,40703011;31,18000031;
117;08:14:22;115,9644165;44,66010666;30,10000229;
118;08:14:32;128,3891754;58,32733917;30,6400032;
119;08:14:42;140,2222791;74,54855347;54,40000153;
120;08:14:52;150,8720725;94,56622314;64,12000275;
121;08:15:02;160,3385555;115,3431778;78,16000366;
122;08:15:12;169,8050385;138,2599487;92,74000549;
123;08:15:22;179,2715214;161,3838196;95,98000336;
124;08:15:32;187,554694;187,199707;115,4200058;
125;08:15:42;192,8795907;215,6385956;126,2200012;
126;08:15:52;198,7961426;245,1128845;140,2600098;
127;08:16:02;201,1627633;276,7269897;161,8600006;
128;08:16:12;198,7961426;308,8933105;161,3200073;
129;08:16:22;192,8795907;342,6472473;168,3400116;
130;08:16:32;182,2297974;376,125061;173,2000122;
131;08:16:42;169,2133833;410,3621826;171,5800018;
132;08:16:52;140,8139343;444,3231812;174,8200073;
133;08:17:02;111,231175;478,0771179;174,280014;
134;08:17:12;82,24007089;508,7248535;133,7799988;
135;08:17:22;57,39055307;534,8858643;94,36000061;
136;08:17:32;35,49931117;558,0787354;72,76000214;
137;08:17:42;17,1580004;578,6486206;58,18000412;
138;08:17:52;0,591655186;593,7654419;0;
139;08:18:02;0;594,1105347;0;
140;08:18:12;0;594,1105347;0;
141;08:18:22;0;594,1105347;0;
142;08:18:32;0;594,1105347;0;
143;08:18:42;0;594,1105347;0;
144;08:18:52;0;594,1105347;0;
145;08:19:02;0;594,1105347;0;
146;08:19:12;0;594,1105347;0;
147;08:19:22;0;594,1105347;0;
148;08:19:32;0;594,1105347;0;
149;08:19:42;0;594,1105347;0;
150;08:19:52;0;594,1105347;0;
151;08:20:02;0;594,1105347;0;
152;08:20:12;0;594,1105347;0;
153;08:20:22;0;594,1795654;10,6600008;
154;08:20:32;0;594,1795654;16,06000137;
155;08:20:42;0;594,1795654;35,5;
156;08:20:52;0;594,1795654;51,70000076;
157;08:21:02;0;594,1795654;64,12000275;
158;08:21:12;0;594,1795654;56,56000137;
159;08:21:22;0;594,1795654;56,56000137;
160;08:21:32;0;594,1795654;53,32000351;
161;08:21:42;0;594,1795654;53,32000351;
162;08:21:52;0;594,1795654;53,32000351;
163;08:22:02;0;594,1795654;53,86000061;
164;08:22:12;0;594,1795654;53,86000061;
165;08:22:22;0;594,1795654;53,86000061;
166;08:22:32;0;594,1795654;53,86000061;
167;08:22:42;0;594,1795654;53,86000061;
168;08:22:52;0;594,1795654;53,86000061;
169;08:23:02;0;594,1795654;53,86000061;
170;08:23:12;0;594,1795654;53,86000061;
171;08:23:22;0;594,1795654;53,86000061;
172;08:23:32;0;594,1795654;53,86000061;
173;08:23:42;0;594,1795654;53,86000061;
174;08:23:52;0;594,1795654;53,86000061;
175;08:24:02;0;594,1795654;53,86000061;
176;08:24:12;0;594,1795654;53,86000061;
177;08:24:22;0;594,1795654;53,86000061;
178;08:24:32;0;594,1795654;53,86000061;
179;08:24:42;0;594,1795654;53,86000061;
180;08:24:52;0;594,1795654;53,86000061;
181;08:25:02;0;594,1795654;53,86000061;
182;08:25:12;0;594,1795654;53,86000061;
183;08:25:22;0;594,1795654;53,86000061;
184;08:25:32;0;594,1795654;53,86000061;
185;08:25:42;0;594,1795654;53,86000061;
186;08:25:52;0;594,1795654;53,86000061;
187;08:26:02;0;594,1795654;53,86000061;
188;08:26:12;0;594,1795654;53,86000061;
189;08:26:22;0;594,1795654;53,32000351;
190;08:26:32;0;594,1795654;53,86000061;
191;08:26:42;0;594,1795654;53,32000351;
192;08:26:52;0;594,1795654;53,86000061;
193;08:27:02;0;594,1795654;53,86000061;
194;08:27:12;0;594,1795654;53,86000061;
195;08:27:22;0;594,1795654;53,86000061;
196;08:27:32;0;594,1795654;53,86000061;
197;08:27:42;0;594,1795654;53,86000061;
198;08:27:52;0;594,1795654;53,86000061;
199;08:28:02;0;594,1795654;53,86000061;
200;08:28:12;0;594,1795654;53,32000351;
201;08:28:22;0;594,1795654;53,86000061;
202;08:28:32;0;594,1795654;53,86000061;
203;08:28:42;0;594,1795654;53,86000061;
204;08:28:52;0;594,1795654;53,32000351;
205;08:29:02;0;594,1795654;53,32000351;
206;08:29:12;0;594,1795654;53,32000351;
