Id;Heure;Profondeur;Vitesse;Effort
1;08:43:56;0;0;0
2;08:43:57;0;0;0
3;08:43:58;0;0;0
4;08:43:59;0;0;0
5;08:44:00;0;0;0
6;08:44:01;0;0;0
7;08:44:02;0;0;0
8;08:44:03;0;0;0
9;08:44:04;0;0;5,895
10;08:44:05;0;0;0
11;08:44:06;0;0;0
12;08:44:07;0;0;0
13;08:44:08;0;0;0
14;08:44:09;0;0;5,895
15;08:44:10;0;0;5,895
16;08:44:11;0;0;0
17;08:44:12;0;0;0
18;08:44:13;0;0;5,895
19;08:44:14;0;0;0
20;08:44:15;0;0;0
21;08:44:16;0;0;0
22;08:44:17;0;0;5,895
23;08:44:18;0;0;5,895
24;08:44:19;0;0;0
25;08:44:20;0;0;0
26;08:44:21;0;0;5,895
27;08:44:22;0;0;0
28;08:44:23;0;0;5,895
29;08:44:24;0;0;0
30;08:44:25;0;0;0
31;08:44:26;0;0;0
32;08:44:27;0;0;0
33;08:44:28;0;0;5,895
34;08:44:29;0;0;0
35;08:44:30;0;0;0
36;08:44:31;0;0,1;12,445
37;08:44:32;0,301260375;8,3;142,135
38;08:44:33;0,60252075;18,6;30,785
39;08:44:34;0,903781125;18;0
40;08:44:35;1,2050415;17;0
41;08:44:36;1,506301875;17,6;0
42;08:44:37;1,707142125;15,1;0
43;08:44:38;1,907982375;12,2;0
44;08:44:39;2,108822625;12,1;0
45;08:44:40;2,309662875;11,6;0
46;08:44:41;2,309662875;6,1;0
47;08:44:42;2,309662875;0;0
48;08:44:43;2,309662875;0;0
49;08:44:44;2,309662875;0;0
50;08:44:45;2,108822625;5,5;0
51;08:44:46;1,707142125;20,2;0
52;08:44:47;1,305461625;22,5;0
53;08:44:48;1,00420125;20,4;0
54;08:44:49;1,00420125;6,7;0
55;08:44:50;0;61;0
56;08:44:51;0;0;0
57;08:44:52;0;0;0
58;08:44:53;0,20084025;6,9;0
59;08:44:54;0,60252075;18,4;0
60;08:44:55;0,903781125;21,6;0
61;08:44:56;1,305461625;20,8;0
62;08:44:57;1,606722;19,6;0
63;08:44:58;1,707142125;12,3;0
64;08:44:59;1,907982375;11,6;0
65;08:45:00;2,0084025;9,2;0
66;08:45:01;2,0084025;0;0
67;08:45:02;2,0084025;0;0
