Id;Heure;Debit;Total;Pression
1;14:50:21;0;0;0
2;14:50:23;0;0;0
3;14:50:25;0;0;0
4;14:50:27;0;0;0
5;14:50:29;0;0;0
6;14:50:31;0;0;0
7;14:50:33;0;0;0
8;14:50:35;0;0;0
9;14:50:37;0;0;0
10;14:50:39;0;0;0
11;14:50:41;0;0;0
12;14:50:43;0;0;0
13;14:50:45;0;0;0
14;14:50:47;0;0;0
15;14:50:49;0;0;0
16;14:50:51;0;0;0
17;14:50:53;0;0;0
18;14:50:55;0;0;0
19;14:50:57;0;0;0
20;14:50:59;0;0;0
21;14:51:01;0;0;0
22;14:51:03;0;0;0
23;14:51:05;0;0;0
24;14:51:07;0;0;0
25;14:51:09;0;0;0
26;14:51:11;0;0;0
27;14:51:13;0;0;0
28;14:51:15;0;0;0
29;14:51:17;0;0;0
30;14:51:19;0;0;0
31;14:51:21;0;0;0
32;14:51:23;0;0;0
33;14:51:25;0;0;0
34;14:51:27;0;0;0
35;14:51:29;0;0;0
36;14:51:31;0;0;0
37;14:51:33;0;0;0
38;14:51:35;0;0;0
39;14:51:37;0;0;0
40;14:51:39;0;0;0
41;14:51:41;0;0;0
42;14:51:43;0;0;0
43;14:51:45;0;0;0
44;14:51:47;0;0;0
45;14:51:49;0;0;0
46;14:51:51;0;0;0
47;14:51:53;0;0;0
48;14:51:55;0;0;0
49;14:51:57;0;0;0
50;14:51:59;0;0;0
51;14:52:01;0;0;0
52;14:52:03;0;0;0
53;14:52:05;0;0;0
54;14:52:07;0;0;0
55;14:52:09;0;0;0
56;14:52:11;0;0;0
57;14:52:13;0;0;0
58;14:52:15;0;0;0
59;14:52:17;0;0;0
60;14:52:19;0;0;0
61;14:52:21;18;0;0
62;14:52:23;18;0;0
63;14:52:25;18;0;0
64;14:52:27;18;0;0
65;14:52:29;18;0;0
66;14:52:31;18;0;0
67;14:52:33;18;0;0
68;14:52:35;18;0;0
69;14:52:37;18;0;0
70;14:52:39;18;0;0
71;14:52:41;18;0;0
72;14:52:43;18;0;0
73;14:52:45;18;0;0
74;14:52:47;18;0;0
75;14:52:49;18;0;0
76;14:52:51;18;7,766193431;10
77;14:52:53;0;7,766193431;11
78;14:52:55;0;7,766193431;12
79;14:52:57;0;7,766193431;12
80;14:52:59;0;7,766193431;12
81;14:53:01;0;7,766193431;13
82;14:53:03;0;7,766193431;13
83;14:53:05;0;7,766193431;13
84;14:53:07;0;7,766193431;12
85;14:53:09;0;7,766193431;12
86;14:53:11;0;7,766193431;12
87;14:53:13;0;7,766193431;12
88;14:53:15;0;7,766193431;12
89;14:53:17;0;7,766193431;12
90;14:53:19;0;7,766193431;12
