Id;HEURE;Debit;Total;Pression;Densite
1;07:00:24;0;0;3;
2;07:00:34;0;0;3;
3;07:00:44;0;0;3;
4;07:00:54;0;0;3;
5;07:01:04;0;0;3;
6;07:01:14;0;0;3;
7;07:01:24;0;0;3;
8;07:01:34;0;0;3;
9;07:01:44;0;0;3;
10;07:01:54;0;0;3;
11;07:02:04;0;0;3;
12;07:02:14;0;0;3;
13;07:02:24;0;0;3;
14;07:02:34;0;0;3;
15;07:02:44;0;0;3;
16;07:02:54;0;0;3;
17;07:03:04;0;0;3;
18;07:03:14;0;0;3;
19;07:03:24;0;0;3;
20;07:03:34;0;0;3;
21;07:03:44;0;0;3;
22;07:03:54;0;0;3;
23;07:04:04;0;0;3;
24;07:04:14;0;0;3;
25;07:04:24;0;0;3;
26;07:04:34;0;0;3;
27;07:04:44;0;0;3;
28;07:04:54;0;0;3;
29;07:05:04;0;0;3;
30;07:05:14;0;0;3;
31;07:05:24;0;0;3;
32;07:05:34;0;0;3;
33;07:05:44;0;0;3;
34;07:05:54;0;0;3;
35;07:06:04;0;0;3;
36;07:06:14;0;0;3;
37;07:06:24;0;0;3;
38;07:06:34;0;0;3;
39;07:06:44;0;0;3;
40;07:06:54;0;0;3;
41;07:07:04;0;0;3;
42;07:07:14;0;0;3;
43;07:07:24;0;0;3;
44;07:07:34;0;0;3;
45;07:07:44;0;0;3;
46;07:07:54;0;0;3;
47;07:08:04;0;0;3;
48;07:08:14;0;0;3;
49;07:08:24;0;0;3;
50;07:08:34;0;0;3;
51;07:08:44;0;0;3;
52;07:08:54;0;0;3;
53;07:09:04;0;0;3;
54;07:09:14;0;0;3;
55;07:09:24;0;0;3;
56;07:09:34;0;0;3;
57;07:09:44;0;0;3;
58;07:09:54;0;0;3;
59;07:10:04;0;0;3;
60;07:10:14;0;0;3;
61;07:10:24;0;0;3;
62;07:10:34;0;0;4;
63;07:10:44;0;0;3;
64;07:10:54;0;0;3;
65;07:11:04;0;0;3;
66;07:11:14;0;0;3;
67;07:11:24;0;0;3;
68;07:11:34;0;0;3;
69;07:11:44;0;0;3;
70;07:11:54;0;0;4;
71;07:12:04;0;0;3;
72;07:12:14;0;0;3;
73;07:12:24;0;0;3;
74;07:12:34;0;0;4;
75;07:12:44;0;0;4;
76;07:12:54;0;0;5;
77;07:13:04;0;0;5;
78;07:13:14;0;0;4;
79;07:13:24;0;0;6;
80;07:13:34;0;0;6;
81;07:13:44;0;0;6;
82;07:13:54;0;0;6;
83;07:14:04;0;0;6;
84;07:14:14;0;0;5;
85;07:14:24;0;0;2;
86;07:14:34;0;0;4;
87;07:14:44;0;0;5;
88;07:14:54;0;0;5;
89;07:15:04;0;0;5;
90;07:15:14;0;0;5;
91;07:15:24;0;0;5;
92;07:15:34;0;0;5;
93;07:15:44;0;0;4;
94;07:15:54;0;0;4;
95;07:16:04;0;0;4;
96;07:16:14;0;0;5;
97;07:16:24;0;0;5;
98;07:16:34;0;0;5;
99;07:16:44;0;0;5;
100;07:16:54;0;0;5;
101;07:17:04;0;0;5;
102;07:17:14;0;0;4;
103;07:17:24;0;0;2;
104;07:17:34;0;0;4;
105;07:17:44;0;0;4;
106;07:17:54;0;0;5;
107;07:18:04;0;0;5;
108;07:18:14;0;0;5;
109;07:18:24;0;0;3;
110;07:18:34;0;0;5;
111;07:18:44;0;0;5;
112;07:18:54;0;0;5;
113;07:19:04;0;0;3;
114;07:19:14;0;0;4;
115;07:19:24;0;0;5;
116;07:19:34;0;0;5;
117;07:19:44;0;0;5;
118;07:19:54;0;0;2;
119;07:20:04;0;0;4;
120;07:20:14;0;0;5;
121;07:20:24;0;0;5;
122;07:20:34;0;0;3;
123;07:20:44;0;0;5;
124;07:20:54;0;0;5;
125;07:21:04;0;0;5;
126;07:21:14;0;0;5;
127;07:21:24;0;0;2;
128;07:21:34;0;0;1;
129;07:21:44;0;0;4;
130;07:21:54;0;0;4;
131;07:22:04;0;0;4;
132;07:22:14;0;0;2;
133;07:22:24;0;0;4;
134;07:22:34;0;0;4;
135;07:22:44;0;0;4;
136;07:22:54;0;0;4;
137;07:23:04;0;0;1;
138;07:23:14;0;0;2;
139;07:23:24;0;0;4;
140;07:23:34;0;0;4;
141;07:23:44;0;0;4;
142;07:23:54;0;0;2;
143;07:24:04;0;0;4;
144;07:24:14;0;0;4;
145;07:24:24;0;0;4;
146;07:24:34;0;0;4;
147;07:24:44;0;0;4;
148;07:24:54;0;0;4;
149;07:25:04;0;0;2;
150;07:25:14;0;0;3;
151;07:25:24;0;0;4;
152;07:25:34;0;0;2;
153;07:25:44;0;0;4;
154;07:25:54;0;0;3;
155;07:26:04;0;0;3;
156;07:26:14;0;0;3;
157;07:26:24;0;0;4;
158;07:26:34;0;0;1;
159;07:26:44;0;0;1;
160;07:26:54;0;0;3;
161;07:27:04;0;0;3;
162;07:27:14;0;0;3;
163;07:27:24;0;0;1;
164;07:27:34;0;0;3;
165;07:27:44;0;0;4;
166;07:27:54;0;0;3;
167;07:28:04;0;0;3;
168;07:28:14;0;0;3;
169;07:28:24;0;0;3;
170;07:28:34;0;0;1;
171;07:28:44;0;0;2;
172;07:28:54;0;0;3;
173;07:29:04;0;0;1;
174;07:29:14;0;0;3;
175;07:29:24;0;0;3;
176;07:29:34;0;0;1;
177;07:29:44;0;0;3;
178;07:29:54;0;0;3;
179;07:30:04;0;0;2;
180;07:30:14;0;0;3;
181;07:30:24;0;0;2;
182;07:30:34;0;0;2;
183;07:30:44;0;0;1;
184;07:30:54;0;0;1;
185;07:31:04;0;0;1;
186;07:31:14;0;0;1;
187;07:31:24;0;0;1;
188;07:31:34;0;0;2;
189;07:31:44;0;0;1;
190;07:31:54;0;0;1;
191;07:32:04;0;0;2;
192;07:32:14;0;0;0;
193;07:32:24;0;0;1;
194;07:32:34;0;0;1;
195;07:32:44;0;0;1;
196;07:32:54;0;0;1;
197;07:33:04;0;0;1;
198;07:33:14;0;0;0;
199;07:33:24;0;0;1;
200;07:33:34;0;0;1;
201;07:33:44;0;0;0;
202;07:33:54;0;0;1;
203;07:34:04;0;0;0;
204;07:34:14;0;0;1;
205;07:34:24;0;0;0;
206;07:34:34;0;0;1;
207;07:34:44;0;0;1;
208;07:34:54;0;0;1;
209;07:35:04;0;0;1;
210;07:35:14;0;0;1;
211;07:35:24;0;0;1;
212;07:35:34;0;0;0;
213;07:35:44;0;0;1;
214;07:35:54;0;0;0;
215;07:36:04;0;0;0;
216;07:36:14;0;0;0;
217;07:36:24;0;0;0;
218;07:36:34;0;0;0;
219;07:36:44;0;0;1;
220;07:36:54;0;0;0;
221;07:37:04;0;0;0;
222;07:37:14;0;0;0;
223;07:37:24;0;0;0;
224;07:37:34;0;0;0;
225;07:37:44;0;0;0;
226;07:37:54;0;0;0;
227;07:38:04;0;0;0;
228;07:38:14;0;0;0;
229;07:38:24;0;0;0;
230;07:38:34;0;0;0;
231;07:38:44;0;0;0;
232;07:38:54;0;0;0;
233;07:39:04;0;0;0;
234;07:39:14;0;0;0;
235;07:39:24;0;0;0;
236;07:39:34;0;0;0;
237;07:39:44;0;0;0;
238;07:39:54;0;0;0;
239;07:40:04;0;0;0;
240;07:40:14;0;0;0;
241;07:40:24;0;0;0;
242;07:40:34;0;0;0;
243;07:40:44;0;0;0;
244;07:40:54;0;0;0;
245;07:41:04;0;0;0;
246;07:41:14;0;0;0;
247;07:41:24;0;0;0;
248;07:41:34;0;0;0;
249;07:41:44;0;0;0;
250;07:41:54;0;0;0;
251;07:42:04;15,38303484;0;0;
252;07:42:14;30,76606968;0;0;
253;07:42:24;46,14910453;0;0;
254;07:42:34;60,94048418;0;0;
255;07:42:44;75,73186384;0;0;
256;07:42:54;90,5232435;0;7;
257;07:43:04;105,3146232;16,01413345;47;
258;07:43:14;105,3146232;33,47782135;45;
259;07:43:24;105,3146232;51,35567093;44;
260;07:43:34;104,722968;68,6122818;43;
261;07:43:44;105,3146232;86,35207367;44;
262;07:43:54;103,5396576;103,1254959;48;
263;07:44:04;96,43979536;120,4511337;43;
264;07:44:14;89,33993312;138,2599487;44;
265;07:44:24;81,05676052;155,5855865;47;
266;07:44:34;73,36524309;173,5324707;45;
267;07:44:44;66,26538086;190,927124;45;
