Id;Heure;Profondeur;Vitesse;Effort
1;09:20:39;0;0;0
2;09:20:40;0;0;0
3;09:20:40;0;0;0
4;09:20:42;0;0;0
5;09:20:43;0;0;0
6;09:20:43;0;0;0
7;09:20:44;0;0;0
8;09:20:46;0;0;5,895
9;09:20:46;0;0;0
10;09:20:47;0;0;5,895
11;09:20:49;0;0;0
12;09:20:49;0;0;0
13;09:20:50;0;0;0
14;09:20:52;0;0;5,895
15;09:20:52;0;0;5,895
16;09:20:53;0;0;5,895
17;09:20:55;0;0;5,895
18;09:20:56;0;0;5,895
19;09:20:56;0;0;5,895
20;09:20:58;0;0;5,895
21;09:20:59;0;0;5,895
22;09:20:59;0;0;12,445
23;09:21:01;0;0;5,895
24;09:21:02;0;0;5,895
25;09:21:02;0;0;5,895
26;09:21:03;0;0;5,895
27;09:21:05;0;0;5,895
28;09:21:05;0;0;5,895
29;09:21:06;0;0;12,445
30;09:21:08;0;0;5,895
31;09:21:08;0;0;5,895
32;09:21:09;0;0;5,895
33;09:21:11;0;0;5,895
34;09:21:11;0;0;5,895
35;09:21:12;0;0;5,895
36;09:21:14;0;0;5,895
37;09:21:15;0;0;5,895
38;09:21:15;0;0;5,895
39;09:21:17;0;0;5,895
40;09:21:18;0;0;5,895
41;09:21:18;0;0;5,895
42;09:21:20;0;0;5,895
43;09:21:21;0;0;5,895
44;09:21:21;0;0;5,895
45;09:21:22;0;0;5,895
46;09:21:24;0;0;5,895
47;09:21:24;0;0;5,895
48;09:21:25;0;0;12,445
49;09:21:27;0;0;5,895
50;09:21:27;0;0;5,895
51;09:21:28;0;0;12,445
52;09:21:30;0;0;5,895
53;09:21:30;0;0;5,895
54;09:21:31;0;0;5,895
55;09:21:33;0;0;5,895
56;09:21:34;0;0;5,895
57;09:21:34;0;0;5,895
58;09:21:36;0;0;5,895
59;09:21:37;0;0;5,895
60;09:21:37;0;0;5,895
61;09:21:39;0;0;5,895
62;09:21:40;0;0;5,895
63;09:21:40;0;0;5,895
64;09:21:41;0;0;5,895
65;09:21:43;0;0;12,445
66;09:21:43;0;0;5,895
67;09:21:44;0;0;5,895
68;09:21:46;0;0;5,895
69;09:21:46;0;0;5,895
70;09:21:47;0;0;5,895
71;09:21:49;0;0;5,895
72;09:21:49;0;0;12,445
73;09:21:50;0;0;12,445
74;09:21:52;0;0;12,445
75;09:21:53;0;0;12,445
76;09:21:53;0;0;12,445
77;09:21:55;0;0;5,895
78;09:21:56;0;0;12,445
79;09:21:56;0;0;12,445
80;09:21:57;0;0;12,445
81;09:21:59;0;0;5,895
82;09:21:59;0;0;12,445
83;09:22:00;0;0;12,445
84;09:22:02;0;0;12,445
85;09:22:02;0;0;12,445
86;09:22:03;0;0;5,895
87;09:22:05;0;0;12,445
88;09:22:05;0;0;5,895
89;09:22:06;0;0;12,445
90;09:22:08;0;0;5,895
91;09:22:08;0;0;24,89
92;09:22:09;0;0;74,015
93;09:22:11;0;0;37,335
94;09:22:12;0;0;30,785
95;09:22:12;0;0;37,335
96;09:22:14;0;0;30,785
97;09:22:15;0;0;30,785
98;09:22:15;0;0;30,785
99;09:22:17;0;0;30,785
100;09:22:18;0;0;30,785
101;09:22:18;0;0;30,785
102;09:22:19;0;0;30,785
103;09:22:21;0;0;24,89
104;09:22:21;0,101208749;0,7;24,89
105;09:22:22;0,202417498;7,2;49,78
106;09:22:24;0,404834996;12,7;74,015
107;09:22:24;0,708461243;14,1;43,23
108;09:22:25;0,910878741;13,8;55,675
109;09:22:27;1,113296239;13,9;80,565
110;09:22:27;1,416922487;13,6;80,565
111;09:22:28;1,619339985;13,8;68,12
112;09:22:30;1,922966232;14,2;86,46
113;09:22:31;2,226592479;20,6;98,905
114;09:22:31;2,631427475;21,9;129,69
115;09:22:33;3,036262471;22;129,69
116;09:22:34;3,339888718;21,8;129,69
117;09:22:34;3,744723715;22,3;104,8
118;09:22:35;4,149558711;22,6;104,8
119;09:22:37;4,554393707;22,9;98,905
120;09:22:37;4,959228703;23,5;98,905
121;09:22:38;5,26285495;23,5;98,905
122;09:22:40;5,667689946;23,3;123,795
123;09:22:40;6,072524942;23,5;98,905
124;09:22:41;6,477359939;23,2;98,905
125;09:22:43;6,882194935;23,4;80,565
126;09:22:43;7,287029931;23,5;86,46
127;09:22:44;7,691864927;23,3;86,46
128;09:22:46;8,096699923;23,7;86,46
129;09:22:46;8,501534919;23,7;93,01
130;09:22:47;8,906369916;23,7;80,565
131;09:22:49;9,311204912;23,6;86,46
132;09:22:50;9,614831159;23,3;86,46
133;09:22:50;10,01966616;23,1;93,01
134;09:22:52;10,42450115;23,4;86,46
135;09:22:53;10,82933615;23,2;93,01
136;09:22:53;11,23417114;23,3;98,905
137;09:22:55;11,63900614;23,6;93,01
138;09:22:56;12,04384114;23,5;98,905
139;09:22:56;12,44867613;23,8;93,01
140;09:22:57;12,85351113;23,9;98,905
141;09:22:59;13,25834612;23,5;93,01
142;09:22:59;13,66318112;23,6;93,01
143;09:23:00;14,06801612;23,8;98,905
